date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:16:23	23424/23424	---M--	200	added ('OK')	application/x-font-woff	etag:%222f62722-5b80-5578bd49657d2%22	http://uxliner.com/ovio/demo/bootstrap/fonts/glyphicons-halflings-regular.woff	D:/WAMP/ovio/uxliner.com/ovio/demo/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://uxliner.com/ovio/demo/bootstrap/css/bootstrap.min.css)
13:17:15	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%222f62720-1a8c2-5578bd4913748%22	http://uxliner.com/ovio/demo/bootstrap/fonts/glyphicons-halflings-regular.svg	D:/WAMP/ovio/uxliner.com/ovio/demo/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://uxliner.com/ovio/demo/bootstrap/css/bootstrap.min.css)
13:17:32	7052/7052	---M--	200	added ('OK')	text/css	etag:%222f62735-1b8c-5578bd4afdb3f%22	http://uxliner.com/ovio/demo/dist/et-line-font/et-line-font.css	D:/WAMP/ovio/uxliner.com/ovio/demo/dist/et-line-font/et-line-font.css	(from http://uxliner.com/ovio/demo/)
13:17:35	56006/56006	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222f627c3-dac6-5578bd5e37b68%22	http://uxliner.com/ovio/demo/dist/font-awesome/fonts/fontawesome-webfont.eot?v=4.2.0	D:/WAMP/ovio/uxliner.com/ovio/demo/dist/font-awesome/fonts/fontawesome-webfont78ce.eot	(from http://uxliner.com/ovio/demo/dist/font-awesome/css/font-awesome.min.css)
13:17:38	56006/56006	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222f627c3-dac6-5578bd5e37b68%22	http://uxliner.com/ovio/demo/dist/font-awesome/fonts/fontawesome-webfont.eot?	D:/WAMP/ovio/uxliner.com/ovio/demo/dist/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://uxliner.com/ovio/demo/dist/font-awesome/css/font-awesome.min.css)
13:17:40	65452/65452	---M--	200	added ('OK')	application/x-font-woff	etag:%222f627c7-ffac-5578bd5ecf159%22	http://uxliner.com/ovio/demo/dist/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0	D:/WAMP/ovio/uxliner.com/ovio/demo/dist/font-awesome/fonts/fontawesome-webfont78ce.woff	(from http://uxliner.com/ovio/demo/dist/font-awesome/css/font-awesome.min.css)
13:18:21	99774/99774	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222f627d7-185be-5578bd61a8d73%22	http://uxliner.com/ovio/demo/dist/weather/font/weathericons-regular-webfont.eot	D:/WAMP/ovio/uxliner.com/ovio/demo/dist/weather/font/weathericons-regular-webfont.eot	(from http://uxliner.com/ovio/demo/dist/weather/weather-icons.min.css)
13:18:24	99774/99774	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222f627d7-185be-5578bd61a8d73%22	http://uxliner.com/ovio/demo/dist/weather/font/weathericons-regular-webfont.eot?	D:/WAMP/ovio/uxliner.com/ovio/demo/dist/weather/font/weathericons-regular-webfontd41d.eot	(from http://uxliner.com/ovio/demo/dist/weather/weather-icons.min.css)
13:18:30	287007/287007	---M--	200	added ('OK')	image/svg+xml	etag:%222f627c5-4611f-5578bd5e66d55%22	http://uxliner.com/ovio/demo/dist/font-awesome/fonts/fontawesome-webfont.svg?v=4.2.0	D:/WAMP/ovio/uxliner.com/ovio/demo/dist/font-awesome/fonts/fontawesome-webfont78ce.svg	(from http://uxliner.com/ovio/demo/dist/font-awesome/css/font-awesome.min.css)
13:18:30	56468/56468	---M--	200	added ('OK')	application/x-font-woff	etag:%222f627da-dc94-5578bd6214ff7%22	http://uxliner.com/ovio/demo/dist/weather/font/weathericons-regular-webfont.woff	D:/WAMP/ovio/uxliner.com/ovio/demo/dist/weather/font/weathericons-regular-webfont.woff	(from http://uxliner.com/ovio/demo/dist/weather/weather-icons.min.css)
